snapped_at,price,market_cap,total_volume
2020-12-22 00:00:00 UTC,617.1649966237076,0.0,137563.02655658743
2020-12-23 00:00:00 UTC,617.1649966237076,0.0,137563.02655658743
2020-12-24 00:00:00 UTC,596.7677113169867,4424223.373088122,67102.2592157251
2020-12-25 00:00:00 UTC,611.5047123866868,5651612.707359494,54336.794214655325
2020-12-26 00:00:00 UTC,624.8004202305107,7284743.945718903,45933.06454052944
2020-12-27 00:00:00 UTC,629.0666564890665,7530256.10332518,10300.366418282534
2020-12-28 00:00:00 UTC,678.0991409249748,8034076.269339776,89087.13807428456
2020-12-29 00:00:00 UTC,730.4192863701766,11392116.720485743,2319.238431710206
2020-12-30 00:00:00 UTC,722.7676805784541,11493376.39775885,116741.44432478557
2020-12-31 00:00:00 UTC,722.2828760791737,11905413.948918724,95848.21482803432
2021-01-01 00:00:00 UTC,733.3186200214205,12333635.441624038,81813.99824695727
2021-01-02 00:00:00 UTC,723.5314329233858,12123442.78038427,5104.645519294309
2021-01-03 00:00:00 UTC,772.0626849149918,13205950.414439876,34572.923549638675
2021-01-04 00:00:00 UTC,977.5678400984992,15836679.44998422,35395.449102019724
2021-01-05 00:00:00 UTC,966.8978757629144,17475397.472125165,277333.65778191475
2021-01-06 00:00:00 UTC,1113.9010557940435,19381852.747256536,442577.9705531442
2021-01-07 00:00:00 UTC,1173.3314353182077,21396653.5960448,38065.92353668953
2021-01-08 00:00:00 UTC,1223.4467832598373,22986311.18507738,33380.0662837602
2021-01-09 00:00:00 UTC,1224.7829944332022,24866161.52233301,61432.89308072859
2021-01-10 00:00:00 UTC,1247.308135031523,27038338.911400877,16621.725032768987
2021-01-11 00:00:00 UTC,1279.3605770058432,32744969.53311306,29187.71116235973
2021-01-12 00:00:00 UTC,1087.2141097118467,28497872.511435103,45761.95916254789
2021-01-13 00:00:00 UTC,1051.1076614383398,29435948.93378641,23342.19555282117
2021-01-14 00:00:00 UTC,1137.3555154821463,53336069.24367899,65350.07202209887
2021-01-15 00:00:00 UTC,1215.0340174070896,76486156.1462544,20891.856492975992
2021-01-16 00:00:00 UTC,1160.644094291291,77773706.44238818,23973.27157269267
2021-01-17 00:00:00 UTC,1219.3826646568334,86367412.5894856,27560.443657135864
2021-01-18 00:00:00 UTC,1193.8335285214778,84463316.17207983,7698.1161483334145
2021-01-19 00:00:00 UTC,1246.2501791878278,83549641.03804947,3633.065062628682
2021-01-20 00:00:00 UTC,1374.7240388132666,94727223.03282714,8909.006666654137
2021-01-21 00:00:00 UTC,1328.3856147705762,101801923.66360264,5907.759644804566
2021-01-22 00:00:00 UTC,1110.6621459785124,84924379.65320097,77.4220678573587
2021-01-23 00:00:00 UTC,1207.5312269124056,93051751.08442973,8820.211015767438
2021-01-24 00:00:00 UTC,1241.668428386274,110162894.87456314,7089.779960007589
2021-01-25 00:00:00 UTC,1332.3202314378657,119999757.95428067,4435.088453083787
2021-01-26 00:00:00 UTC,1323.3040641583143,121253879.31507112,2866.7722452686894
2021-01-27 00:00:00 UTC,1360.2115687998769,129743647.98528457,94.95040845503998
2021-01-28 00:00:00 UTC,1243.595224170501,121610639.34405212,62.17976120852506
2021-01-29 00:00:00 UTC,1368.3391492074202,136214636.33095643,1491.77000781867
2021-01-30 00:00:00 UTC,1304.4668986578768,130336576.17264885,275.43900370497744
2021-01-31 00:00:00 UTC,1273.1234207184214,128423916.80874236,815.8411847110183
2021-02-01 00:00:00 UTC,1329.0060049071658,140184744.40388563,13164.315981702022
2021-02-02 00:00:00 UTC,1346.727804117627,145276753.70925808,28536.07723811977
2021-02-03 00:00:00 UTC,1545.668488399302,180735971.2775028,54038.052707870615
2021-02-04 00:00:00 UTC,1624.4271769527734,203744610.5682476,19158.14964757375
2021-02-05 00:00:00 UTC,1594.5501325761145,201186682.44525743,1830.7141839224528
2021-02-06 00:00:00 UTC,1731.4765363608394,222268505.5315105,44490.71735453355
2021-02-07 00:00:00 UTC,1682.1317132892252,220914601.53389928,56381.27978942274
2021-02-08 00:00:00 UTC,1613.6562507350425,219932936.52136672,7027.011425889591
2021-02-09 00:00:00 UTC,1743.1164967557163,239165407.7590784,81848.05308774955
2021-02-10 00:00:00 UTC,1737.4069511231507,250012542.4738221,15729.270769604953
2021-02-11 00:00:00 UTC,1678.9084954200855,242295834.2448262,153624.73796377442
2021-02-12 00:00:00 UTC,1798.0872307302586,259833191.43432248,168109.01404994968
2021-02-13 00:00:00 UTC,1808.9937662840844,261280877.970859,59804.46827307374
2021-02-14 00:00:00 UTC,1802.506848236632,262939728.22138736,19653.96551087039
2021-02-15 00:00:00 UTC,1803.1335151240144,294711629.881902,46387.71027098389
2021-02-16 00:00:00 UTC,1791.3660700001965,294958586.7323307,7792.46014843974
2021-02-17 00:00:00 UTC,1767.6486962208423,291523195.17178017,112519.65140813807
2021-02-18 00:00:00 UTC,1817.0772481913507,300622581.17733866,143817.45187675042
2021-02-19 00:00:00 UTC,1875.8958846505727,333787841.51512885,494114.0628958264
2021-02-20 00:00:00 UTC,1914.1747444128,344370114.12837386,1256535.0275572485
2021-02-21 00:00:00 UTC,1894.5326870185472,339928292.8660936,328342.46006478777
2021-02-22 00:00:00 UTC,1879.9640575572173,340343362.4612324,259935.78072799477
2021-02-23 00:00:00 UTC,1732.0358048010432,312701522.3541799,102069.6054607344
2021-02-24 00:00:00 UTC,1549.6964722163054,271660314.8449398,411399.3448702868
2021-02-25 00:00:00 UTC,1613.9529066806986,292656427.0856388,257054.520149334
2021-02-26 00:00:00 UTC,1485.5447370020397,271158609.08605045,171245.77058968096
2021-02-27 00:00:00 UTC,1445.7488463463906,263018409.71946076,157171.00950529528
2021-02-28 00:00:00 UTC,1461.0588692964116,264637341.59895805,130538.31208685027
2021-03-01 00:00:00 UTC,1409.6498807762928,257558423.01740965,142945.47115716257
2021-03-02 00:00:00 UTC,1551.5599396781754,283798158.03327113,268536.6998083374
2021-03-03 00:00:00 UTC,1483.3575096171016,273014655.5435863,428948.3910080055
2021-03-04 00:00:00 UTC,1502.8566962268503,276033518.0087915,465191.31893736
2021-03-05 00:00:00 UTC,1511.7771289697628,277102273.6344691,284001.9699187666
2021-03-06 00:00:00 UTC,1519.5798352054485,278866082.87590307,321660.9941076904
2021-03-07 00:00:00 UTC,1593.8697077830298,293038723.4337979,111495.00453677669
2021-03-08 00:00:00 UTC,1627.9380014697897,299263259.7582876,256675.641460964
2021-03-09 00:00:00 UTC,1728.0620627155777,317176961.6313772,133486.0450609236
2021-03-10 00:00:00 UTC,1781.7930417126202,329182604.3752913,33508.16314640721
2021-03-11 00:00:00 UTC,1778.5293720889251,329898559.39568394,61083.94042226839
2021-03-12 00:00:00 UTC,1781.8780907806092,333299923.5620808,107490.762949337
2021-03-13 00:00:00 UTC,1740.263754328333,324313855.69440186,51357.06344329668
2021-03-14 00:00:00 UTC,1891.078637887896,352839315.0936329,72495.58549016133
2021-03-15 00:00:00 UTC,1813.448773450634,337871232.2192517,5742.086294112864
2021-03-16 00:00:00 UTC,1744.3643019692206,327760427.14815843,111250.95871980334
2021-03-17 00:00:00 UTC,1759.3685652353693,328378342.5222747,58752.291976144326
2021-03-18 00:00:00 UTC,1731.46162866724,321599551.3513637,130013.13370337324
2021-03-19 00:00:00 UTC,1699.7323786280265,318143497.9496602,30388.06509264729
2021-03-20 00:00:00 UTC,1772.257728536625,331655174.3892655,585.2698849659126
2021-03-21 00:00:00 UTC,1732.1929046545426,324579083.4998464,59628.56202441884
2021-03-22 00:00:00 UTC,1699.8196254046538,318975718.50393784,67276.31837229582
2021-03-23 00:00:00 UTC,1588.6239743431677,298103060.5698864,67902.2750178018
2021-03-24 00:00:00 UTC,1579.5926379576288,296240548.8227197,109868.83229236248
2021-03-25 00:00:00 UTC,1493.238091612806,282328022.2358038,32320.77161494161
2021-03-26 00:00:00 UTC,1498.3688063294996,281726610.52717125,82558.99465446372
2021-03-27 00:00:00 UTC,1593.868325515618,300043292.80682737,25988.47988827144
2021-03-28 00:00:00 UTC,1624.8156676224924,307162321.8044741,269826.01974496635
2021-03-29 00:00:00 UTC,1601.6103450163978,301807932.7367469,69644.63430374478
2021-03-30 00:00:00 UTC,1716.8936243277683,324269510.52547604,44640.76683654571
2021-03-31 00:00:00 UTC,1742.0162918602775,329674949.0681081,352467.559209336
2021-04-01 00:00:00 UTC,1957.0555448157377,371312517.8656141,367875.1461112425
2021-04-02 00:00:00 UTC,1996.122263910844,380181035.9600872,60395.917375928206
2021-04-03 00:00:00 UTC,2091.7340491444197,398684970.1952096,201007.64336872924
2021-04-04 00:00:00 UTC,2054.6633919914807,393148123.4491205,651546.3198182095
2021-04-05 00:00:00 UTC,2098.6603309217385,400546605.7059873,171226.37460850415
2021-04-06 00:00:00 UTC,2125.725733360798,410571877.7499144,248203.0014737549
2021-04-07 00:00:00 UTC,2148.3371962559336,415691225.734164,301918.8418557247
2021-04-08 00:00:00 UTC,2026.0049847506043,394280450.4162445,262454.6119427469
2021-04-09 00:00:00 UTC,2078.7026010783047,403455305.7118958,160130.57671428417
2021-04-10 00:00:00 UTC,2046.588802398384,397249529.6133573,70885.7124737608
2021-04-11 00:00:00 UTC,2106.347017713862,432854220.9315992,317570.1167197053
2021-04-12 00:00:00 UTC,2117.574499255428,436029206.5328925,264403.1007198488
2021-04-13 00:00:00 UTC,2120.9323363011213,470602814.0758552,197885.26945048117
2021-04-14 00:00:00 UTC,2255.326349601962,511084059.1568367,82216.1291651061
2021-04-15 00:00:00 UTC,2344.587388180975,526918484.5554509,242297.06928206375
2021-04-16 00:00:00 UTC,2444.6217986210054,555852003.2217938,319865.21565723047
2021-04-17 00:00:00 UTC,2347.06970462939,534529234.7974068,84021.72960861442
2021-04-18 00:00:00 UTC,2277.2557479864363,518288626.1838617,181998.3762534141
2021-04-19 00:00:00 UTC,2171.64698207999,494299217.7966192,103647.0689529886
2021-04-20 00:00:00 UTC,2158.4666145601723,542126589.1605366,431.6933229120344
2021-04-21 00:00:00 UTC,2215.3781008654228,555497664.533885,66428.27940613223
2021-04-22 00:00:00 UTC,2294.700719477077,576639980.7681509,97810.69269825707
2021-04-23 00:00:00 UTC,2335.2102233718106,585848852.230604,73407.63151920518
2021-04-24 00:00:00 UTC,2253.902603151857,565826796.372817,50726.51236015995
2021-04-25 00:00:00 UTC,2188.4086211927265,553127173.3006326,165463.20381246172
2021-04-26 00:00:00 UTC,2277.552315020002,574408905.5561506,136339.43991753826
2021-04-27 00:00:00 UTC,2436.778487944533,614456049.6161923,135254.78211782372
2021-04-28 00:00:00 UTC,2678.8735965312226,676456203.2798262,908389.4449659302
2021-04-29 00:00:00 UTC,2774.5813700245208,709163451.5388601,928159.2239889476
2021-04-30 00:00:00 UTC,2774.3526944676128,710644702.0579995,292122.8861156898
2021-05-01 00:00:00 UTC,2689.4091826183712,690706798.2627119,1176354.4861071403
2021-05-02 00:00:00 UTC,2867.000820014872,738880504.4333328,604540.317427004
2021-05-03 00:00:00 UTC,2872.241274182734,741949565.4860098,436254.8398488492
2021-05-04 00:00:00 UTC,3322.161939619979,857736338.5958,928629.23027586
2021-05-05 00:00:00 UTC,3253.483985554426,850165593.9817842,912158.51979771
2021-05-06 00:00:00 UTC,3507.5674842655912,956207198.0695696,732915.7070911678
2021-05-07 00:00:00 UTC,3481.538939627244,958274123.4861952,873699.0028453228
2021-05-08 00:00:00 UTC,3466.4510158776084,1069920239.5706304,1101383.0022863825
2021-05-09 00:00:00 UTC,3893.7036487122223,1267235759.4814012,11420710.999399489
2021-05-10 00:00:00 UTC,3908.031759851061,1303074816.9749866,2130746.144799231
2021-05-11 00:00:00 UTC,3998.4359433465,1341238586.5148304,3497120.588879989
2021-05-12 00:00:00 UTC,4087.7556914839306,1375087905.8983538,1401292.370410504
2021-05-13 00:00:00 UTC,3936.137737674107,1328837396.207625,2741139.788079122
2021-05-14 00:00:00 UTC,3687.78168533037,1253121744.9315715,2313109.471281444
2021-05-15 00:00:00 UTC,4066.371413302283,1377930608.5173578,4768501.188345241
2021-05-16 00:00:00 UTC,3793.932825887133,1308400999.225351,2029142.1398311516
2021-05-17 00:00:00 UTC,3578.828534191375,1230824404.55035,1823519.79024783
2021-05-18 00:00:00 UTC,3280.459699846117,1130747577.4526253,5074496.95753498
2021-05-19 00:00:00 UTC,3327.276910059446,1170214897.8005838,840972.2853189744
2021-05-20 00:00:00 UTC,2469.5820319152413,904861058.5097244,9807968.590125304
2021-05-21 00:00:00 UTC,2738.7558636932326,962371941.7649772,3771081.677446625
2021-05-22 00:00:00 UTC,2393.131601681522,844568022.8309705,2148359.395694689
2021-05-23 00:00:00 UTC,2291.951272383459,962431004.9661512,2037601.211628654
