snapped_at,price,market_cap,total_volume
2021-04-03 00:00:00 UTC,2.2117439512168247,532793422.0362452,486878811.0533943
2021-04-04 00:00:00 UTC,2.2117439512168247,532793422.0362452,486878811.0533943
2021-04-05 00:00:00 UTC,2.181007845067719,721291234.8439752,113983391.19842394
2021-04-06 00:00:00 UTC,1.8025536334246268,620514258.6155046,101946689.77588816
2021-04-07 00:00:00 UTC,1.704677540487591,588553049.0314958,89510952.99188486
2021-04-08 00:00:00 UTC,1.4896776210466915,519603406.4806479,59717842.69999416
2021-04-09 00:00:00 UTC,1.3540045052248888,472268449.8408196,43439355.70615429
2021-04-10 00:00:00 UTC,1.3805092854348775,483765665.1265915,13948302.58480808
2021-04-11 00:00:00 UTC,1.4721157544773862,554687188.7743974,18937050.74985239
2021-04-12 00:00:00 UTC,1.3136622195529657,495837658.3899434,26958644.3237595
2021-04-13 00:00:00 UTC,1.3127137837414384,495428253.70531386,16216418.546241725
2021-04-14 00:00:00 UTC,1.4745762274607692,560141817.3619062,26676659.36728248
2021-04-15 00:00:00 UTC,1.4782000815836205,562970892.4602635,15685814.088297317
2021-04-16 00:00:00 UTC,1.4199003338148954,549061600.5664814,11655756.573664067
2021-04-17 00:00:00 UTC,1.375909978566622,520241286.6193898,6482295.188018102
2021-04-18 00:00:00 UTC,1.2732406612293798,486127321.098424,8433856.54600243
2021-04-19 00:00:00 UTC,1.1436290821774575,434628794.53350645,14680854.09670129
2021-04-20 00:00:00 UTC,1.0869682516741743,417502530.5786535,3579513.8073831717
2021-04-21 00:00:00 UTC,1.3007556844621968,498316217.81653184,20977054.355550308
2021-04-22 00:00:00 UTC,1.337957355557954,512111508.7235655,9701385.611353204
2021-04-23 00:00:00 UTC,1.3363010898646508,514459992.0615099,17378563.860290132
2021-04-24 00:00:00 UTC,1.3115922258040908,498571071.85619897,12809754.695769154
2021-04-25 00:00:00 UTC,1.3737732134284262,529979835.0010295,16629789.452509016
2021-04-26 00:00:00 UTC,1.4382521440761682,551909635.7153184,10603625.340091703
2021-04-27 00:00:00 UTC,1.5047543732959496,579002152.6987461,5131704.819880012
2021-04-28 00:00:00 UTC,1.4116982159141795,543925490.7767161,31629507.46663198
2021-04-29 00:00:00 UTC,1.3327282132778009,512799943.4540893,27207756.702354148
2021-04-30 00:00:00 UTC,1.319438884571399,577671531.8529668,8012224.37723274
2021-05-01 00:00:00 UTC,1.3196502927399207,580584458.6311406,11777835.653490916
2021-05-02 00:00:00 UTC,1.4661132722104966,642475510.1557255,22058844.521135967
2021-05-03 00:00:00 UTC,1.420273681898064,619803956.1083935,7644071.431624585
2021-05-04 00:00:00 UTC,1.5420862792239582,688585801.9972526,14866484.215357514
2021-05-05 00:00:00 UTC,1.5519596821987411,694978860.2533956,12928437.098293988
2021-05-06 00:00:00 UTC,1.794096929148256,799816593.1463224,26228285.42521104
