snapped_at,price,market_cap,total_volume
2021-06-01 00:00:00 UTC,3.26379571919946,479212619.0347164,108115251.59239995
2021-06-02 00:00:00 UTC,3.26379571919946,479212619.0347164,108115251.59239995
2021-06-03 00:00:00 UTC,3.9977364085071936,584670638.7565857,58299077.59222013
2021-06-04 00:00:00 UTC,4.549516362789919,679880127.1710662,88787515.451393
2021-06-05 00:00:00 UTC,3.790307484654595,566849880.5838026,49430186.67465735
2021-06-06 00:00:00 UTC,3.454972086309458,517498051.4007826,24853098.593985625
2021-06-07 00:00:00 UTC,3.445846011690493,519599966.3983696,14815974.642240304
2021-06-08 00:00:00 UTC,3.2273105932152437,490434889.9926305,29536704.845410787
2021-06-09 00:00:00 UTC,2.9755284410228646,451534723.4225472,32572001.3515078
2021-06-10 00:00:00 UTC,3.0761468563847565,469284865.43685824,23423683.776516374
2021-06-11 00:00:00 UTC,2.6378741225797784,401771458.1896597,18301768.448103987
2021-06-12 00:00:00 UTC,2.4934387698638023,381935947.2445297,14472913.62244298
2021-06-13 00:00:00 UTC,2.2875583464195643,351906883.7834217,18720982.92021821
2021-06-14 00:00:00 UTC,2.8563670147195395,437912410.3276024,18587016.774078887
2021-06-15 00:00:00 UTC,2.864840863920645,441913928.1836669,19974337.4954978
2021-06-16 00:00:00 UTC,2.7061106376630795,421329827.5135048,14659669.894623416
2021-06-17 00:00:00 UTC,2.4297374725668712,380465830.1860252,14294428.27648441
2021-06-18 00:00:00 UTC,2.3044803668667884,363090361.17007697,12035896.530620037
2021-06-19 00:00:00 UTC,2.236158316838534,353048963.56018335,15580050.643501384
2021-06-20 00:00:00 UTC,2.074196076823705,328235648.55200845,10919758.439075528
2021-06-21 00:00:00 UTC,2.028287327374989,322581564.9965464,19476624.17562932
2021-06-22 00:00:00 UTC,1.49393751116423,243422192.95571923,20726501.7141692
2021-06-23 00:00:00 UTC,1.425654647633022,229454455.037246,36560943.50759598
2021-06-24 00:00:00 UTC,1.7854089943209928,284843141.0106795,30159214.233345646
2021-06-25 00:00:00 UTC,1.7709106663267238,286679856.50963384,17077541.260928947
2021-06-26 00:00:00 UTC,1.4993938340420785,247003013.8362663,17555221.203720357
2021-06-27 00:00:00 UTC,1.3598969121935705,221229273.50954908,21297885.17416986
2021-06-28 00:00:00 UTC,1.4586937081673097,238541852.45174512,16603438.218801048
2021-06-29 00:00:00 UTC,1.4602933911664702,240548927.0679099,14941909.257879397
2021-06-30 00:00:00 UTC,1.5923871851819156,263124543.04492792,22198668.159135643
2021-07-01 00:00:00 UTC,1.5114317375686013,251537734.92323712,15699580.581424013
2021-07-02 00:00:00 UTC,1.4294235796544472,237706590.18165737,6554305.892384336
2021-07-03 00:00:00 UTC,1.3980556106295532,233680971.26491785,5115852.434981974
2021-07-04 00:00:00 UTC,1.4772086545849064,249607339.5085043,7266377.7499197135
2021-07-05 00:00:00 UTC,1.4352053597857437,241678810.94624293,7572471.085099952
2021-07-06 00:00:00 UTC,1.320134626997299,223316820.03816268,9292846.797176462
2021-07-07 00:00:00 UTC,1.3564747213261128,230203858.250295,8492099.721281169
2021-07-08 00:00:00 UTC,1.3588869256828453,231472766.96154663,7706189.514112747
2021-07-09 00:00:00 UTC,1.273522999954189,217659436.91323537,6931514.763949295
2021-07-10 00:00:00 UTC,1.3047672844461518,223842851.69086996,5999956.894950335
2021-07-11 00:00:00 UTC,1.2163956455795044,209427841.1867164,4963500.179101815
2021-07-12 00:00:00 UTC,1.2564206206523467,217205628.12290144,5767716.127161543
2021-07-13 00:00:00 UTC,1.1938555744012047,206809467.9961912,3796979.125167656
2021-07-14 00:00:00 UTC,1.1477209088882967,200379521.8117273,4765898.590002261
2021-07-15 00:00:00 UTC,1.1701379804651766,204577644.6594826,6514527.432367468
